artist_album,year,cluster
Dewey Redman Look for the Black Star,1966,4
Sunny Murray Sunny Murray Quintet,1966,1
Sun Ra Atlantis,1967,1
Gary Burton A Genuine Tong Funeral,1967,10
Sam Rivers Dimensions And Extensions,1967,1
Roscoe Mitchell Old Quartet,1967,0
Bill Dixon Intents And Purposes,1967,1
George Russell Othello Ballet Suite,1967,0
Muhal Richard Abrams Levels and Degrees of Light,1967,7
Archie Shepp The Magic of Ju-Ju,1967,5
Jackie McLean New and Old Gospel,1967,6
John Coltrane Interstellar Space,1967,1
Frank Wright Your Prayer,1967,1
Spontaneous Music Ensemble Withdrawal,1967,0
Peter Broetzmann For Adolph Sax,1967,0
Chick Corea Now He Sings Now He Sobs,1967,15
Miles Davis Nefertiti,1967,21
Jackie McLean Demon's Dance,1967,4
Miles Davis Sorcerer,1967,21
Gary Burton Duster,1967,0
John Coltrane Expression,1967,11
McCoyTyner The Real McCoy,1967,4
Wayne Shorter Schizophrenia,1967,15
Lee Konitz Duets,1967,11
Paul Bley Virtuosi,1967,10
Lester Bowie Numbers 1 & 2,1967,1
Paul Bley Ballads,1967,15
Michael Mantler Jazz Composers' Orchestra,1968,0
Roscoe Mitchell Congliptious,1968,1
Don Cherry Eternal Rhythm,1968,10
Miles Davis Filles de Kilimanjaro,1968,0
Peter Broetzmann Machine Gun,1968,0
John Surman John Surman,1968,0
Spontaneous Music Ensemble Karyobin,1968,5
Kenny Wheeler Windmill Tilter,1968,6
Modern Jazz Quartet Under the Jasmine Tree,1968,0
Roland Kirk Left And Right,1968,11
Sun Ra Outer Spaceways Incorporated,1968,1
Horace Silver Serenade to a Soul Sister,1968,4
Paul Horn Inside The Taj Mahal,1968,1
McCoyTyner Expansions,1968,21
Gary Bartz Another Earth,1968,0
Pat Martino Baiyina,1968,6
Charles Tolliver Paper Man,1968,15
Herbie Hancock Speak Like A Child,1968,11
Miles Davis Miles in the Sky,1968,4
Dave Burrell High Won High Two,1968,1
Anthony Braxton For Alto,1968,1
Don Cherry Mu,1969,1
Miles Davis Bitches Brew,1969,3
Pharoah Sanders Karma,1969,9
Miles Davis In a Silent Way,1969,0
Art Ensemble of Chicago People in Sorrow,1969,10
Art Ensemble of Chicago Reese and the Smooth Ones,1969,10
Kalaparusha Maurice McIntyre Humility In The Light Of Creator,1969,0
George Russell Electronic Sonata For Souls Loved By Nature,1969,6
Dollar Brand African Piano,1969,1
Guenter Hampel The 8th of July 1969,1969,0
Roland Kirk Rahsaan Rahsaan,1969,9
Pharoah Sanders Jewels Of Thought,1969,1
Archie Shepp Yasmina,1969,0
Art Ensemble of Chicago A Jackson In Your House,1969,1
Charles Tolliver The Ringer,1969,15
Joe McPhee Underground Railroad,1969,1
Jan Garbarek Esoteric Circle,1969,6
Pharoah Sanders Izipho Zam,1969,1
Art Ensemble of Chicago Message to our Folks,1969,1
Sunny Murray Homage to Africa,1969,0
Chick Corea Is,1969,6
Dave Burrell Echo,1969,1
Dewey Redman Tarik,1969,1
Willem Breuker Lunchconcert For Three Barrel-organs,1969,0
Joe Harriott Hum-Dono,1969,0
Peter Broetzmann Nipples,1969,0
Charles Earland Black Talk,1969,0
Wolfgang Dauner Fuer,1969,0
Eric Kloss To Hear Is To See,1969,0
Leon Thomas Spirits Known and Unknown,1969,9
Miroslav Vitous Moutain in the Clouds,1969,0
Tony Williams Emergency,1969,3
Archie Shepp Blase',1969,1
Dollar Brand African Sketchbook,1969,6
John McLaughlin Extrapolation,1969,8
Stanley Cowell Blues for the Viet Cong,1969,11
Stanley Cowell Brilliant Circles,1969,16
Wolfgang Dauner The Oimels,1969,8
Horace Tapscott West Coast Hot,1969,6
Liberation Music Orchestra Song for Che,1969,1
Paul Bley Improvisie,1970,0
Marion Brown Afternoon of a Georgia Faun,1970,1
Alice Coltrane Ptah The El Daoud,1970,9
McCoy Tyner Extensions,1970,2
Art Ensemble of Chicago Les Stances A Sophie,1970,10
Freddie Hubbard Straight Life,1970,3
Art Ensemble of Chicago With Fontella Bass,1970,1
Pharoah Sanders Summon Bukmun Umyun,1970,0
Jan Garbarek Afric Pepperbird,1970,10
Evan Parker The Topography of the Lungs,1970,7
Herbie Hancock Mwandishi,1970,1
Spontaneous Music Ensemble So What Do You Think,1970,0
Alice Coltrane Journey in Satchidananda,1970,1
Stanley Turrentine Sugar,1970,0
Woody Shaw Blackstone Legacy,1970,6
Freddie Hubbard Red Clay,1970,4
McCoy Tyner Asante,1970,15
Miles Davis Big Fun,1970,3
Leon Thomas Album,1970,0
Hubert Laws Afro Classic,1970,3
John McLaughlin My Goals Beyond,1970,8
ICP Orchestra Groupcomposing,1970,0
Guenter Hampel People Symphony,1970,0
Keith Tippett Dedicated To You But You Weren't Listening,1970,8
Misha Mengelberg Instant Composers Pool 005,1970,0
Guenter Hampel Ballet-Symphony,1970,0
Chris McGregor And the Brotherhood of Breath,1970,7
Joe McPhee Nation Time,1970,1
Dave Burrell After Love,1970,1
Sonny Sharrock Monkey-Pockie-Boo,1970,1
Carla Bley Escalator Over The Hill,1971,6
Charles Mingus Let My Children Hear Music,1971,13
Paul Bley Dual Unity,1971,1
Art Ensemble of Chicago Phase One,1971,1
Roland Kirk Natural Black Inventions - Root Strata,1971,0
Weather Report Weather Report,1971,0
Jean-Luc Ponty Open Strings,1971,0
Pharoah Sanders Black Unity,1971,7
Lol Coxhill Ear Of The Beholder,1971,1
Keith Jarrett Facing You,1971,10
Mike Westbrook Metropolis,1971,6
Willem Breuker Instant Composers Pool 008,1971,5
Jan Garbarek Sart,1971,1
Chick Corea The Gathering,1971,1
Keith Tippett Septober Energy,1971,1
Derek Bailey Solo Guitar,1971,5
George Russell Listen to the Silence,1971,0
Ornette Coleman Science Fiction,1971,1
Freddie Hubbard First Light,1971,0
Keith Jarrett Expectations,1971,0
Chick Corea Piano Improvisations,1971,15
Joe Zawinul Zawinul,1971,3
Joe McPhee Trinity,1971,1
Oliver Nelson Swiss Suite,1971,9
Terje Rypdal Terje Rypdal,1971,17
Alice Coltrane Universal Consciousness,1971,1
Paul Winter Icarus,1971,6
Alice Coltrane World Galaxy,1971,1
Paul Winter Road,1971,6
Donald Byrd Ethiopian Knights,1971,9
Tim Weisberg Tim Weisberg,1971,3
Anthony Braxton Saxophone Improvisations,1972,7
Dave Holland Conference of the Birds,1972,1
McCoy Tyner Sahara,1972,0
Weather Report I Sing the Body Electric,1972,3
Jean-Luc Ponty Sonata Erotica,1972,1
London Jazz Composers Orchestra Ode,1972,7
Herbie Hancock Crossings,1972,3
John Surman Westering Home,1972,10
Chick Corea Light as a Feather,1972,3
Guenter Hampel Familie,1972,0
Chick Corea Return To Forever,1972,3
Paul Motian Conception Vessel,1972,10
Neil Ardley Symphony of Amaranths,1972,21
David Liebman Open Sky,1972,1
Ornette Coleman Skies of America,1972,1
Gato Barbieri Bolivia,1972,9
Eric Kloss One Two Free,1972,0
Gary Burton Crystal Silence,1972,6
Evan Parker Collective Calls,1972,7
Guenter Hampel Angel,1972,0
Albert Mangelsdorff Trombirds,1972,1
Julius Hemphill Dogon AD,1972,1
Randy Weston Tanjah,1972,3
Guenter Hampel Waltz For 11 Universes In A Corridor,1972,0
Joe Henderson Black Is The Color,1972,0
"Guenter Hampel Broadway ,",1972,0
Nucleus Belladonna,1972,0
Miles Davis On The Corner,1972,2
Oregon Music Of Another Present Era,1972,5
Paul Bley Open To Love,1972,6
George Russell Living Time,1972,3
McCoy Tyner Echoes of a Friend,1972,21
Mahavishnu Orchestra Birds of Fire,1972,8
Stanley Cowell Illusion Suite,1972,3
Stanley Clarke Children of Forever,1972,3
Gary Bartz Juju Street Songs,1972,3
Airto Moreira Free,1972,17
Sam Rivers Streams,1973,0
Roland Kirk Prepare Thyself To Deal With A Miracle,1973,0
Dollar Brand Sangoma,1973,0
Art Ensemble of Chicago Fanfare For The Warriors,1973,1
Don Cherry Relativity Suite,1973,1
Cecil Taylor Spring of Two Blue J's,1973,1
Keith Jarrett Solo Concerts,1973,5
McCoy Tyner Enlightnment,1973,0
Carla Bley Tropic Appetites,1973,6
Dollar Brand African Space Program,1973,0
Marion Brown Geechee Recollections,1973,1
Herbie Hancock Sextant,1973,3
Frank Wright Church Number Nine,1973,1
Gato Barbieri Latin America,1973,0
Frank Lowe Black Beings,1973,1
Ralph Towner Diary,1973,6
Dewey Redman The Ear of the Behearer,1973,1
Eberhard Weber Colours of Chloe,1973,6
Roswell Rudd Numatik Swing Band,1973,0
Oregon Distant Hills,1973,6
Dollar Brand African Portraits,1973,0
Weather Report Sweetnighter,1973,3
David Liebman Lookout Farm,1973,6
Oscar Peterson Trio,1973,0
Cecil Taylor Solo,1973,9
John Surman Morning Glory,1973,16
Betty Carter Album,1973,0
Mal Waldron Up Popped the Devil,1973,1
Michael Mantler No Answer,1973,6
Billy Cobham Spectrum,1973,8
Herbie Hancock Headhunters,1973,8
Spontaneous Music Ensemble Mouthpiece,1973,0
Charles Earland Leaving This Planet,1973,3
Flora Purim Butterfly Dreams,1973,3
Herbie Hancock Thrust,1973,3
Billy Cobham Crosswinds,1973,3
Sam Rivers Crystals,1974,7
Cecil Taylor Silent Tongues,1974,5
Steve Lacy Saxophone Special,1974,1
Jeanne Lee Conspiracy,1974,1
Leo Smith Reflectativity,1974,0
Bennie Maupin The Jewel In The Lotus,1974,3
Weather Report Mysterious Traveller,1974,3
Randy Weston Blues To Africa,1974,21
Marion Brown Sweet Earth Flying,1974,1
Paul Rutherford Gentle Harm of the Bourgeoisie,1974,1
Marvin Peterson Children of the Fire,1974,4
John Abercrombie Timeless,1974,12
Roswell Rudd Flexible Flyer,1974,1
McCoy Tyner Atlantis,1974,21
Globe Unity Orchestra Hamburg '74,1974,1
Cecil McBee Mutima,1974,9
Mahavishnu Orchestra Apocalypse,1974,8
Ralph Towner Solstice,1974,6
Terje Rypdal Whenever I Seem To Be Far Away,1974,17
Roscoe Mitchell Solo Saxophone Concerts,1974,0
Steve Kuhn Ecstasy,1974,5
Joe McPhee Pieces Of Light,1974,1
Keith Jarrett Death and the Flower,1974,1
Steve Kuhn Trance,1974,21
Steve Lacy Scraps,1974,0
David Liebman Drum Ode,1974,3
Kenny Barron Peruvian Blue,1974,15
Tete Montoliu Music for Perla,1974,0
Bill Watrous Manhattan Wildlife Refuge,1974,13
Lonnie Liston Smith Expansions,1974,0
Mike Gibbs Only Chrome Waterfall,1974,0
McCoy Tyner Sama Layuca,1974,4
Oregon Winter Light,1974,0
Billy Cobham Total Eclipse,1974,8
Keith Jarrett The Koeln Concert,1975,0
Revolutionary Ensemble The Psyche,1975,1
Miles Davis Pangaea,1975,3
Evan Parker Saxophone Solos,1975,7
Leroy Jenkins For Players Only,1975,0
Air Air Song,1975,0
Oliver Lake Heavy Spirits,1975,7
Kenny Wheeler Gnu High,1975,6
Terje Rypdal Odyssey,1975,6
Steve Lacy Dreams,1975,1
Pat Metheny Bright Size Life,1975,3
Anthony Braxton Five Pieces,1975,1
Don Pullen Solo Piano Album,1975,0
Dexter Gordon Bouncing' with Dex,1975,0
Michael Mantler Michael Mantler - Carla Bley,1975,13
Sonny Sharrock Paradise,1975,1
Dudu Pukwana Diamond Express,1975,1
Kenny Barron Lucifer,1975,0
Frank Lowe The Flam,1975,1
John Surman S.O.S.,1975,6
Don Pullen Healing Force,1975,5
Miles Davis Get Up With It,1975,16
Julius Hemphill Coon Bid'ness,1975,1
Gateway Trio Gateway,1975,0
Collin Walcott Cloud Dance,1975,6
Don Moye Sun Percussion,1975,1
Martial Solal Nothing But Piano,1975,6
Eberhard Weber Yellow Fields,1975,6
Don Pullen Five To Go,1975,13
Charles Tolliver Impact,1975,13
Lol Coxhill Welfare State,1975,0
David Liebman Forgotten Fantasies,1975,0
Joe McPhee The Willisau Concert,1975,7
Yosuke Yamashita Chiasma,1975,1
Michael Mantler The Hapless Child,1975,8
Dollar Brand Soweto,1975,9
Don Pullen Capricorn Rising,1975,1
Stanley Clarke Journey to Love,1975,8
Enrico Rava The Pilgrim and the Stars,1975,6
Manhattan Transfer Manhattan Transfer,1975,13
Keith Jarrett Survivors Suite,1976,6
George Lewis Solo Trombone Record,1976,5
Air Air Raid,1976,0
David Murray Flowers for Albert,1976,1
Derek Bailey Company 1,1976,7
Jan Garbarek Dis,1976,6
Irene Schweizer Wilde Senoritas,1976,0
Albert Mangelsdorff Tromboneliness,1976,5
Leo Smith Song of Humanity,1976,0
Tony Coe Zeitgeist,1976,0
Ornette Coleman Dancing in Your Head,1976,1
Jaco Pastorius Jaco Pastorius,1976,3
Martial Solal Movability,1976,6
Hamiet Bluiett Endangered Species,1976,0
Art Lande Rubisa Patrol,1976,6
Chick Corea Romantic Warrior,1976,3
George Adams Suite For Swingers,1976,0
Jean-Luc Ponty Imaginary Voyage,1976,8
David Friesen Star Dance,1976,0
Dexter Gordon Biting the Apple,1976,4
Joachim Kuhn Springfever,1976,8
Eberhard Weber The Following Morning,1976,6
Lew Tabackin Dual Nature,1976,0
Chico Freeman Morning Prayer,1976,0
Weather Report Black Market,1976,3
Charles Tyler Saga Out of the Outlaws,1976,0
Al DiMeola Land of The Midnight Sun,1976,3
Woody Shaw Little Red's Fantasy,1976,15
Stanley Clarke School Days,1976,0
Yosuke Yamashita Banslikana,1976,1
Ran Blake Wende,1976,0
Guenter Christmann Solomusiken Fuer Posaune und Kontrabasse,1976,0
Egberto Gismondi Danca Das Cabecas,1976,0
George Lewis Chicago Slow Dance,1977,0
Air Air Time,1977,0
George Lewis Shadowgraph,1977,1
Joe McPhee Graphics,1977,0
James Ulmer Revealing,1977,5
Pat Metheny Watercolors,1977,17
John Scofield East Meets West,1977,3
Leroy Jenkins Solo Concert,1977,0
Julius Hemphill Blue Boye,1977,1
Michael Mantler Movies,1977,6
Abdul Wadud By Myself,1977,0
Roscoe Mitchell Nonaah,1977,1
Joanne Brackeen Tring A Ling,1977,0
Art Lande Desert Marauders,1977,6
Chico Freeman Kings of Mali,1977,5
Art Pepper No Limit,1977,0
Arthur Blythe Metamorphosis,1977,15
Collin Walcott Grazing Dreams,1977,5
David Friesen Waterfall Rainbow,1977,0
Dave Holland Emerald Tears,1977,6
Neil Ardley Kaleidoscope of Rainbows,1977,6
Chico Freeman Chico,1977,0
Frank Lowe Lowe And Behold,1977,0
Vinny Golia Spirits In Fellowship,1977,0
Weather Report Heavy Weather,1977,3
Ernie Krivda Satanic,1977,0
Derek Bailey Company 5,1977,5
Chico Freeman No Time Left,1977,1
Paul Motian Dance,1977,6
Hamiet Bluiett SOS,1977,0
Jan Garbarek Places,1977,6
World Saxophone Quartet Point Of No Return,1977,1
John Tchicai Real,1977,6
Julius Hemphill Raw Materials and Residuals,1977,0
George Russell Vertical Form 6,1977,0
Joanne Brackeen Aft,1977,0
Julius Hemphill Roi Boye and the Gotham Minstrels,1977,1
Kenny Wheeler Deer Wan,1977,6
Irene Schweizer Hexensabbat,1977,0
Leroy Jenkins Lifelong Ambitions,1977,7
Globe Unity Pearls,1977,0
Ralph Towner Sound And Shadows,1977,12
Hamiet Bluiett Birthright,1977,1
Jean-Luc Ponty Enigmatic Ocean,1977,8
Muhal Richard Abrams 1-OQA+19,1977,1
Cecil McBee Music From the Source,1977,10
Steve Lacy Raps,1977,10
Woody Shaw Rosewood,1977,0
Gateway Trio 2,1977,0
Louis Hayes The Real Thing,1977,0
McCoy Tyner Supertrio,1977,0
Al DiMeola Elegant Gypsy,1977,8
Michael Urbaniak Urbaniak,1977,0
Keith Jarrett My Song,1977,0
Arthur Blythe Bush Baby,1977,1
Sheila Jordan Sheila,1977,0
Leo Smith Mass on the World,1978,0
Roscoe Mitchell LRG-Maze-S II Examples,1978,1
Leroy Jenkins Legend of Ai Glatson,1978,16
Rova Saxophone Quartet Cinema Rovate,1978,0
Gerry Hemingway Kwambe,1978,0
Sam Rivers Waves,1978,1
George Lewis Imaginary Suite,1978,0
Don Pullen Warriors,1978,1
Guenter Hampel Oasis,1978,0
Cecil Taylor 3 Phasis,1978,7
John Oswald Improvised,1978,6
Andrew Cyrille Metamusician's Stomp,1978,1
Ralph Towner Batik,1978,0
Art Ensemble of Chicago Nice Guys,1978,1
Carla Bley Musique Mecanique,1978,6
Air Open Air Suit,1978,0
Marvin Peterson The Light,1978,9
Anthony Davis Of Blues and Dream,1978,0
David Liebman Pendulum,1978,15
Pat Metheny Group,1978,3
Ernie Krivda The Alchemist,1978,0
Evan Parker Monoceros,1978,5
Anthony Braxton For Four Orchestras,1978,0
Ganelin Trio Concerto Grosso,1978,7
Cecil Taylor Cecil Taylor Unit,1978,7
James Ulmer Tales From Captain Black,1978,6
Oliver Lake Life Dance Of Is,1978,0
Lester Bowie African Children,1978,0
World Saxophone Quartet Steppin' With,1978,0
Arthur Blythe Lenox Avenue Breakdown,1978,6
Paul Winter Common Ground,1978,6
Kenny Barron Innocence,1978,0
